image_type,total_images,total_detections,avg_detections_per_image,median_detections_per_image,std_detections_per_image,avg_detection_time,median_detection_time,avg_confidence,median_confidence,min_confidence,max_confidence,class_distribution
uncompressed,289,431,1.491349480968858,1.0,1.479067757574436,0.026411534180690675,0.021529197692871094,0.5193027521369076,0.4843750596046448,0.25007519125938416,0.9467890858650208,"{'truck': 94, 'car': 308, 'bus': 28, 'motorcycle': 1}"
compressed,289,401,1.3875432525951557,1.0,1.3291972181241598,0.020201239206386685,0.020155906677246094,0.5394597444451064,0.5127087831497192,0.25014403462409973,0.9451501369476318,"{'truck': 102, 'car': 271, 'bus': 28}"
compressed_resized,289,395,1.3667820069204153,1.0,1.3036030814636443,0.02074213341445659,0.02208685874938965,0.5439519306526909,0.5046809315681458,0.25017446279525757,0.9427466988563538,"{'truck': 94, 'car': 271, 'bus': 30}"
