image_type,total_images,total_detections,avg_detections_per_image,median_detections_per_image,std_detections_per_image,avg_detection_time,median_detection_time,avg_confidence,median_confidence,min_confidence,max_confidence,class_distribution
uncompressed,289,593,2.0519031141868513,2.0,1.543175010075139,0.03442443200873668,0.026977062225341797,0.5829138565324812,0.5909424424171448,0.2506667673587799,0.9568420052528381,"{'car': 433, 'truck': 142, 'bus': 18}"
compressed,289,618,2.13840830449827,2.0,1.4956264589019928,0.029571863194237942,0.02901601791381836,0.5843536915999015,0.5876554846763611,0.251888245344162,0.9536645412445068,"{'car': 453, 'truck': 141, 'bus': 24}"
compressed_resized,289,611,2.114186851211073,2.0,1.4399536636023809,0.02897393167225135,0.028696060180664062,0.5827786631748055,0.5809409022331238,0.25025835633277893,0.9514583945274353,"{'car': 456, 'truck': 132, 'bus': 23}"
